szs0,szs1,bulbs0
2.094755356,0,0
2.094755356,0,0
2.094755356,0,0
2.094755356,0,0
2.962431434,0,0
2.962431434,0,0
2.962431434,0,0
2.962431434,0,0
2.962431434,0,0
2.962431434,0,0
2.962431434,0,0
2.962431434,0,0
2.962431434,0,0
2.962431434,0,0
2.962431434,0,0
2.962431434,0,0
2.962431434,0,0
2.962431434,0,0
2.962431434,0,0
2.962431434,0,0
2.962431434,0,0
2.962431434,0,0
2.962431434,0,0
2.962431434,0,0
2.962431434,0,0
2.962431434,0,0
2.962431434,0,0
2.962431434,0,0
2.962431434,0,0
2.962431434,0,0
2.962431434,0,0
2.962431434,0,0
3.628222705,0,0
3.628222705,0,0
3.628222705,0,0
3.628222705,0,0
3.628222705,0,0
3.628222705,0,0
3.628222705,0,0
3.628222705,0,0
3.628222705,0,0
3.628222705,0,0
3.628222705,0,0
3.628222705,0,0
3.628222705,0,0
3.628222705,0,0
3.628222705,0,0
3.628222705,0,0
3.628222705,0,0
3.628222705,0,0
3.628222705,0,0
3.628222705,0,0
3.628222705,0,0
3.628222705,0,0
3.628222705,0,0
3.628222705,0,0
3.628222705,0,0
3.628222705,0,0
3.628222705,0,0
3.628222705,0,0
4.189510711,0,0
4.189510711,0,0
4.189510711,0,0
4.189510711,0,0
4.189510711,0,0
4.189510711,0,0
4.189510711,0,0
4.189510711,0,0
4.189510711,0,0
4.189510711,0,0
4.189510711,0,0
4.189510711,0,0
4.189510711,0,0
4.189510711,0,0
4.189510711,0,0
4.189510711,0,0
4.189510711,0,0
4.189510711,0,0
4.189510711,0,0
4.189510711,0,0
4.189510711,0,0
4.189510711,0,0
4.189510711,0,0
4.189510711,0,0
4.189510711,0,0
4.189510711,0,0
4.189510711,0,0
4.189510711,0,0
4.189510711,0,0
4.684015371,0,0
4.684015371,0,0
4.684015371,0,0
4.684015371,0,0
4.684015371,0,0
4.684015371,0,0
4.684015371,0,0
4.684015371,0,0
4.684015371,0,0
4.684015371,0,0
4.684015371,0,0
4.684015371,0,0
4.684015371,0,0
5.131081757,0,0
5.131081757,0,0
5.131081757,0,0
5.131081757,0,0
5.131081757,0,0
5.131081757,0,0
5.131081757,0,0
5.131081757,0,0
5.131081757,0,0
5.131081757,0,0
5.131081757,0,0
5.131081757,0,0
5.131081757,0,0
5.131081757,0,0
5.131081757,0,0
5.131081757,0,0
5.131081757,0,0
5.131081757,0,0
5.131081757,0,0
5.131081757,0,0
5.131081757,0,0
5.131081757,0,0
5.131081757,0,0
5.131081757,0,0
5.131081757,0,0
5.131081757,0,0
5.131081757,0,0
5.131081757,0,0
5.542201729,0,0
5.542201729,0,0
5.542201729,0,0
5.542201729,0,0
5.542201729,0,0
5.542201729,0,0
5.924862868,0,0
5.924862868,0,0
5.924862868,0,0
5.924862868,0,0
5.924862868,0,0
5.924862868,0,0
5.924862868,0,0
5.924862868,0,0
5.924862868,0,0
5.924862868,0,0
5.924862868,0,0
5.924862868,0,0
5.924862868,0,0
5.924862868,0,0
5.924862868,0,0
5.924862868,0,0
5.924862868,0,0
5.924862868,0,0
5.924862868,0,0
5.924862868,0,0
5.924862868,0,0
5.924862868,0,0
5.924862868,0,0
5.924862868,0,0
5.924862868,0,0
5.924862868,0,0
5.924862868,0,0
5.924862868,0,0
5.924862868,0,0
6.284266067,0,0
6.284266067,0,0
6.284266067,0,0
6.284266067,0,0
6.284266067,0,0
6.284266067,0,0
6.284266067,0,0
6.284266067,0,0
6.284266067,0,0
6.624198065,0,0
6.624198065,0,0
6.624198065,0,0
6.624198065,0,0
6.624198065,0,0
6.624198065,0,0
6.624198065,0,0
6.624198065,0,0
6.624198065,0,0
6.624198065,0,0
6.624198065,0,0
6.624198065,0,0
6.624198065,0,0
6.624198065,0,0
6.624198065,0,0
6.624198065,0,0
6.624198065,0,0
6.624198065,0,0
6.624198065,0,0
6.947517542,0,0
6.947517542,0,0
6.947517542,0,0
6.947517542,0,0
7.256445411,0,0
7.256445411,0,0
7.256445411,0,0
7.256445411,0,0
7.256445411,0,0
7.256445411,0,0
7.256445411,0,0
7.256445411,0,0
7.256445411,0,0
7.256445411,0,0
7.256445411,0,0
7.256445411,0,0
7.256445411,0,0
7.256445411,0,0
7.256445411,0,0
7.256445411,0,0
7.256445411,0,0
7.256445411,0,0
7.256445411,0,0
7.256445411,0,0
7.256445411,0,0
7.256445411,0,0
7.256445411,0,0
7.256445411,0,0
7.256445411,0,0
7.552747844,0,0
7.552747844,0,0
7.83785685,0,0
7.83785685,0,0
7.83785685,0,0
7.83785685,0,0
7.83785685,0,0
7.83785685,0,0
7.83785685,0,0
7.83785685,0,0
7.83785685,0,0
8.112952607,0,0
8.112952607,0,0
8.112952607,0,0
8.379021423,0,0
8.379021423,0,0
8.379021423,0,0
8.379021423,0,0
8.379021423,0,0
8.379021423,0,0
8.379021423,0,0
8.379021423,0,0
8.636897591,0,0
8.887294301,0,0
8.887294301,0,0
8.887294301,0,0
8.887294301,0,0
8.887294301,0,0
8.887294301,0,0
8.887294301,0,0
8.887294301,0,0
8.887294301,0,0
8.887294301,0,0
8.887294301,0,0
8.887294301,0,0
8.887294301,0,0
9.368030743,0,0
9.368030743,0,0
9.368030743,0,0
9.368030743,0,0
9.368030743,0,0
9.368030743,0,0
9.368030743,0,0
9.368030743,0,0
9.368030743,0,0
9.59937498,0,0
9.59937498,0,0
9.825273533,0,0
9.825273533,0,0
9.825273533,0,0
9.825273533,0,0
9.825273533,0,0
9.825273533,0,0
10.26216351,0,0
10.26216351,0,0
10.26216351,0,0
10.26216351,0,0
10.26216351,0,0
10.26216351,0,0
10.26216351,0,0
10.26216351,0,0
10.26216351,0,0
10.26216351,0,0
10.26216351,0,0
10.26216351,0,0
10.26216351,0,0
10.26216351,0,0
10.26216351,0,0
10.26216351,0,0
10.26216351,0,0
10.26216351,0,0
10.26216351,0,0
10.26216351,0,0
10.26216351,0,0
10.26216351,0,0
10.68119843,0,0
10.68119843,0,0
10.68119843,0,0
10.88466812,0,0
10.88466812,0,0
10.88466812,0,0
11.08440346,0,0
11.08440346,0,0
11.08440346,0,0
11.08440346,0,0
11.08440346,0,0
11.28060282,0,0
11.47344761,0,0
11.47344761,0,0
11.47344761,0,0
11.47344761,0,0
11.47344761,0,0
11.47344761,0,0
11.47344761,0,0
11.47344761,0,0
11.47344761,0,0
11.47344761,0,0
11.84972574,0,0
11.84972574,0,0
11.84972574,0,0
11.84972574,0,0
11.84972574,0,0
11.84972574,0,0
12.03345337,0,0
12.03345337,0,0
12.21441771,0,0
12.21441771,0,0
12.21441771,0,0
12.21441771,0,0
12.21441771,0,0
12.39273981,0,0
12.56853213,0,0
12.56853213,0,0
12.56853213,0,0
12.56853213,0,0
12.56853213,0,0
12.56853213,0,0
12.56853213,0,0
12.56853213,0,0
12.56853213,0,0
12.56853213,0,0
12.56853213,0,0
12.91293925,0,0
12.91293925,0,0
13.081743,0,0
13.081743,0,0
13.24839613,0,0
13.24839613,0,0
13.24839613,0,0
13.24839613,0,0
13.24839613,0,0
13.24839613,0,0
13.24839613,0,0
13.24839613,0,0
13.57556629,0,0
13.57556629,0,0
13.57556629,0,0
13.57556629,0,0
13.57556629,0,0
13.57556629,0,0
13.57556629,0,0
13.57556629,0,0
13.57556629,0,0
13.89503508,0,0
13.89503508,0,0
13.89503508,0,0
13.89503508,0,0
13.89503508,0,0
13.89503508,0,0
13.89503508,0,0
13.89503508,0,0
13.89503508,0,0
14.05204611,0,0
14.20732206,0,0
14.20732206,0,0
14.51289082,0,0
14.51289082,0,0
14.51289082,0,0
14.51289082,0,0
14.51289082,0,0
14.51289082,0,0
14.81215717,0,0
14.81215717,0,0
14.95954545,0,0
14.95954545,0,0
15.10549569,0,0
15.10549569,0,0
15.10549569,0,0
15.39324527,0,0
15.39324527,0,0
15.39324527,0,0
15.39324527,0,0
15.39324527,0,0
15.39324527,0,0
15.39324527,0,0
15.39324527,0,0
15.6757137,0,0
15.81505612,0,0
15.81505612,0,0
15.9531815,0,0
15.9531815,0,0
16.22590521,0,0
16.22590521,0,0
16.22590521,0,0
16.22590521,0,0
16.22590521,0,0
16.22590521,0,0
16.22590521,0,0
16.22590521,0,0
16.22590521,0,0
16.49412016,0,0
16.49412016,0,0
16.62660519,0,0
16.62660519,0,0
16.75804285,0,0
16.75804285,0,0
16.75804285,0,0
17.01787296,0,0
17.01787296,0,0
17.01787296,0,0
17.01787296,0,0
17.01787296,0,0
17.01787296,0,0
17.27379518,0,0
17.52598071,0,0
17.52598071,0,0
17.52598071,0,0
17.52598071,0,0
17.7745886,0,0
17.7745886,0,0
18.01976692,0,0
18.01976692,0,0
18.14111353,0,0
18.14111353,0,0
18.14111353,0,0
18.14111353,0,0
18.50037837,0,0
18.50037837,0,0
18.50037837,0,0
18.50037837,0,0
18.73606149,0,0
18.73606149,0,0
18.73606149,0,0
18.73606149,0,0
18.8527982,0,0
18.8527982,0,0
19.19874996,0,0
19.19874996,0,0
19.65054707,0,0
19.87259419,0,0
20.09218754,0,0
20.20108908,0,0
20.20108908,0,0
20.52432703,0,0
20.84255263,0,0
21.15599206,0,0
21.464855,0,0
21.464855,0,0
21.464855,0,0
21.76933623,0,0
22.16880691,0,0
22.56120564,0,0
22.65824353,0,0
22.94689521,0,0
22.94689521,0,0
23.13732915,0,0
23.51357055,0,0
23.51357055,0,0
24.33885782,0,0
24.78547962,0,0
25.48379877,0,0
27.47245894,0,0
28.10409223,0,0
28.87420995,0,0
29.62431434,0,0
32.45181043,0,0
2.962431434,2.094755356,0
4.189510711,2.094755356,0
4.189510711,2.094755356,0
4.189510711,2.094755356,0
5.131081757,2.094755356,0
6.624198065,2.094755356,0
15.10549569,2.094755356,0
2.094755356,2.962431434,0
2.962431434,2.962431434,0
2.962431434,2.962431434,0
2.962431434,2.962431434,0
2.962431434,2.962431434,0
2.962431434,2.962431434,0
2.962431434,2.962431434,0
2.962431434,2.962431434,0
2.962431434,2.962431434,0
2.962431434,2.962431434,0
2.962431434,2.962431434,0
2.962431434,2.962431434,0
2.962431434,2.962431434,0
2.962431434,2.962431434,0
2.962431434,2.962431434,0
2.962431434,2.962431434,0
2.962431434,2.962431434,0
3.628222705,2.962431434,0
3.628222705,2.962431434,0
3.628222705,2.962431434,0
3.628222705,2.962431434,0
3.628222705,2.962431434,0
3.628222705,2.962431434,0
3.628222705,2.962431434,0
3.628222705,2.962431434,0
3.628222705,2.962431434,0
4.189510711,2.962431434,0
4.189510711,2.962431434,0
4.189510711,2.962431434,0
4.189510711,2.962431434,0
4.189510711,2.962431434,0
4.189510711,2.962431434,0
4.684015371,2.962431434,0
4.684015371,2.962431434,0
5.131081757,2.962431434,0
5.131081757,2.962431434,0
5.131081757,2.962431434,0
5.924862868,2.962431434,0
6.624198065,2.962431434,0
6.624198065,2.962431434,0
10.26216351,2.962431434,0
15.10549569,2.962431434,0
2.962431434,3.628222705,0
2.962431434,3.628222705,0
2.962431434,3.628222705,0
2.962431434,3.628222705,0
2.962431434,3.628222705,0
2.962431434,3.628222705,0
2.962431434,3.628222705,0
2.962431434,3.628222705,0
2.962431434,3.628222705,0
2.962431434,3.628222705,0
3.628222705,3.628222705,0
3.628222705,3.628222705,0
3.628222705,3.628222705,0
3.628222705,3.628222705,0
3.628222705,3.628222705,0
3.628222705,3.628222705,0
3.628222705,3.628222705,0
3.628222705,3.628222705,0
3.628222705,3.628222705,0
3.628222705,3.628222705,0
3.628222705,3.628222705,0
3.628222705,3.628222705,0
3.628222705,3.628222705,0
3.628222705,3.628222705,0
3.628222705,3.628222705,0
3.628222705,3.628222705,0
3.628222705,3.628222705,0
3.628222705,3.628222705,0
3.628222705,3.628222705,0
3.628222705,3.628222705,0
3.628222705,3.628222705,0
3.628222705,3.628222705,0
3.628222705,3.628222705,0
3.628222705,3.628222705,0
3.628222705,3.628222705,0
4.189510711,3.628222705,0
4.189510711,3.628222705,0
4.189510711,3.628222705,0
4.189510711,3.628222705,0
4.189510711,3.628222705,0
4.189510711,3.628222705,0
4.189510711,3.628222705,0
4.189510711,3.628222705,0
4.189510711,3.628222705,0
4.189510711,3.628222705,0
4.189510711,3.628222705,0
4.189510711,3.628222705,0
4.189510711,3.628222705,0
4.189510711,3.628222705,0
4.189510711,3.628222705,0
4.189510711,3.628222705,0
4.189510711,3.628222705,0
4.684015371,3.628222705,0
4.684015371,3.628222705,0
4.684015371,3.628222705,0
5.131081757,3.628222705,0
5.131081757,3.628222705,0
5.131081757,3.628222705,0
5.131081757,3.628222705,0
5.131081757,3.628222705,0
5.131081757,3.628222705,0
5.131081757,3.628222705,0
5.131081757,3.628222705,0
5.131081757,3.628222705,0
5.131081757,3.628222705,0
5.131081757,3.628222705,0
5.131081757,3.628222705,0
5.131081757,3.628222705,0
5.131081757,3.628222705,0
5.131081757,3.628222705,0
5.131081757,3.628222705,0
5.131081757,3.628222705,0
5.131081757,3.628222705,0
5.131081757,3.628222705,0
5.924862868,3.628222705,0
5.924862868,3.628222705,0
5.924862868,3.628222705,0
5.924862868,3.628222705,0
5.924862868,3.628222705,0
6.284266067,3.628222705,0
6.284266067,3.628222705,0
7.256445411,3.628222705,0
7.256445411,3.628222705,0
7.256445411,3.628222705,0
7.256445411,3.628222705,0
11.47344761,3.628222705,0
19.87259419,3.628222705,0
2.094755356,4.189510711,0
2.962431434,4.189510711,0
2.962431434,4.189510711,0
2.962431434,4.189510711,0
2.962431434,4.189510711,0
3.628222705,4.189510711,0
3.628222705,4.189510711,0
3.628222705,4.189510711,0
3.628222705,4.189510711,0
3.628222705,4.189510711,0
3.628222705,4.189510711,0
3.628222705,4.189510711,0
3.628222705,4.189510711,0
3.628222705,4.189510711,0
3.628222705,4.189510711,0
3.628222705,4.189510711,0
3.628222705,4.189510711,0
3.628222705,4.189510711,0
3.628222705,4.189510711,0
3.628222705,4.189510711,0
3.628222705,4.189510711,0
3.628222705,4.189510711,0
4.189510711,4.189510711,0
4.189510711,4.189510711,0
4.189510711,4.189510711,0
4.189510711,4.189510711,0
4.189510711,4.189510711,0
4.189510711,4.189510711,0
4.189510711,4.189510711,0
4.189510711,4.189510711,0
4.189510711,4.189510711,0
4.189510711,4.189510711,0
4.189510711,4.189510711,0
4.189510711,4.189510711,0
4.189510711,4.189510711,0
4.189510711,4.189510711,0
4.189510711,4.189510711,0
4.189510711,4.189510711,0
4.189510711,4.189510711,0
4.189510711,4.189510711,0
4.189510711,4.189510711,0
4.189510711,4.189510711,0
4.684015371,4.189510711,0
4.684015371,4.189510711,0
4.684015371,4.189510711,0
4.684015371,4.189510711,0
4.684015371,4.189510711,0
4.684015371,4.189510711,0
4.684015371,4.189510711,0
4.684015371,4.189510711,0
5.131081757,4.189510711,0
5.131081757,4.189510711,0
5.131081757,4.189510711,0
5.131081757,4.189510711,0
5.131081757,4.189510711,0
5.131081757,4.189510711,0
5.542201729,4.189510711,0
5.542201729,4.189510711,0
5.924862868,4.189510711,0
5.924862868,4.189510711,0
5.924862868,4.189510711,0
5.924862868,4.189510711,0
5.924862868,4.189510711,0
5.924862868,4.189510711,0
5.924862868,4.189510711,0
5.924862868,4.189510711,0
5.924862868,4.189510711,0
6.284266067,4.189510711,0
6.624198065,4.189510711,0
6.624198065,4.189510711,0
6.624198065,4.189510711,0
6.624198065,4.189510711,0
6.624198065,4.189510711,0
6.624198065,4.189510711,0
6.624198065,4.189510711,0
6.624198065,4.189510711,0
6.624198065,4.189510711,0
7.256445411,4.189510711,0
7.256445411,4.189510711,0
7.256445411,4.189510711,0
7.552747844,4.189510711,0
8.379021423,4.189510711,0
8.379021423,4.189510711,0
10.26216351,4.189510711,0
10.26216351,4.189510711,0
14.81215717,4.189510711,0
16.49412016,4.189510711,0
17.52598071,4.189510711,0
21.464855,4.189510711,0
2.962431434,4.684015371,0
3.628222705,4.684015371,0
3.628222705,4.684015371,0
3.628222705,4.684015371,0
3.628222705,4.684015371,0
4.189510711,4.684015371,0
4.189510711,4.684015371,0
4.189510711,4.684015371,0
4.189510711,4.684015371,0
4.189510711,4.684015371,0
4.189510711,4.684015371,0
4.684015371,4.684015371,0
4.684015371,4.684015371,0
4.684015371,4.684015371,0
4.684015371,4.684015371,0
4.684015371,4.684015371,0
5.131081757,4.684015371,0
5.131081757,4.684015371,0
5.131081757,4.684015371,0
5.131081757,4.684015371,0
5.131081757,4.684015371,0
5.131081757,4.684015371,0
5.131081757,4.684015371,0
5.131081757,4.684015371,0
5.131081757,4.684015371,0
5.131081757,4.684015371,0
5.542201729,4.684015371,0
5.542201729,4.684015371,0
5.542201729,4.684015371,0
5.542201729,4.684015371,0
5.924862868,4.684015371,0
5.924862868,4.684015371,0
5.924862868,4.684015371,0
5.924862868,4.684015371,0
5.924862868,4.684015371,0
5.924862868,4.684015371,0
6.284266067,4.684015371,0
6.624198065,4.684015371,0
6.624198065,4.684015371,0
6.624198065,4.684015371,0
6.624198065,4.684015371,0
6.624198065,4.684015371,0
6.947517542,4.684015371,0
7.256445411,4.684015371,0
7.256445411,4.684015371,0
7.256445411,4.684015371,0
7.256445411,4.684015371,0
7.83785685,4.684015371,0
7.83785685,4.684015371,0
7.83785685,4.684015371,0
8.379021423,4.684015371,0
8.887294301,4.684015371,0
9.368030743,4.684015371,0
12.03345337,4.684015371,0
13.89503508,4.684015371,0
16.22590521,4.684015371,0
2.094755356,5.131081757,0
2.962431434,5.131081757,0
2.962431434,5.131081757,0
2.962431434,5.131081757,0
2.962431434,5.131081757,0
3.628222705,5.131081757,0
3.628222705,5.131081757,0
3.628222705,5.131081757,0
3.628222705,5.131081757,0
3.628222705,5.131081757,0
3.628222705,5.131081757,0
3.628222705,5.131081757,0
3.628222705,5.131081757,0
3.628222705,5.131081757,0
3.628222705,5.131081757,0
3.628222705,5.131081757,0
4.189510711,5.131081757,0
4.189510711,5.131081757,0
4.189510711,5.131081757,0
4.189510711,5.131081757,0
4.189510711,5.131081757,0
4.189510711,5.131081757,0
4.189510711,5.131081757,0
4.189510711,5.131081757,0
4.189510711,5.131081757,0
4.189510711,5.131081757,0
4.189510711,5.131081757,0
4.189510711,5.131081757,0
4.189510711,5.131081757,0
4.189510711,5.131081757,0
4.189510711,5.131081757,0
4.684015371,5.131081757,0
4.684015371,5.131081757,0
4.684015371,5.131081757,0
4.684015371,5.131081757,0
4.684015371,5.131081757,0
4.684015371,5.131081757,0
4.684015371,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.131081757,5.131081757,0
5.542201729,5.131081757,0
5.542201729,5.131081757,0
5.542201729,5.131081757,0
5.542201729,5.131081757,0
5.542201729,5.131081757,0
5.542201729,5.131081757,0
5.542201729,5.131081757,0
5.924862868,5.131081757,0
5.924862868,5.131081757,0
5.924862868,5.131081757,0
5.924862868,5.131081757,0
5.924862868,5.131081757,0
5.924862868,5.131081757,0
6.284266067,5.131081757,0
6.624198065,5.131081757,0
6.624198065,5.131081757,0
6.624198065,5.131081757,0
6.624198065,5.131081757,0
6.624198065,5.131081757,0
6.624198065,5.131081757,0
7.256445411,5.131081757,0
7.256445411,5.131081757,0
7.256445411,5.131081757,0
7.256445411,5.131081757,0
7.256445411,5.131081757,0
7.256445411,5.131081757,0
7.83785685,5.131081757,0
7.83785685,5.131081757,0
8.112952607,5.131081757,0
8.112952607,5.131081757,0
8.379021423,5.131081757,0
8.379021423,5.131081757,0
8.379021423,5.131081757,0
8.379021423,5.131081757,0
8.379021423,5.131081757,0
8.887294301,5.131081757,0
9.368030743,5.131081757,0
10.26216351,5.131081757,0
10.26216351,5.131081757,0
13.89503508,5.131081757,0
14.20732206,5.131081757,0
14.51289082,5.131081757,0
14.51289082,5.131081757,0
3.628222705,5.542201729,0
4.189510711,5.542201729,0
4.189510711,5.542201729,0
4.684015371,5.542201729,0
4.684015371,5.542201729,0
4.684015371,5.542201729,0
4.684015371,5.542201729,0
5.131081757,5.542201729,0
5.131081757,5.542201729,0
5.131081757,5.542201729,0
5.542201729,5.542201729,0
5.542201729,5.542201729,0
5.542201729,5.542201729,0
5.542201729,5.542201729,0
5.542201729,5.542201729,0
5.924862868,5.542201729,0
5.924862868,5.542201729,0
5.924862868,5.542201729,0
5.924862868,5.542201729,0
5.924862868,5.542201729,0
5.924862868,5.542201729,0
5.924862868,5.542201729,0
5.924862868,5.542201729,0
6.284266067,5.542201729,0
6.284266067,5.542201729,0
6.284266067,5.542201729,0
6.284266067,5.542201729,0
6.624198065,5.542201729,0
6.624198065,5.542201729,0
6.624198065,5.542201729,0
6.947517542,5.542201729,0
7.256445411,5.542201729,0
7.83785685,5.542201729,0
7.83785685,5.542201729,0
7.83785685,5.542201729,0
7.83785685,5.542201729,0
8.112952607,5.542201729,0
8.112952607,5.542201729,0
8.379021423,5.542201729,0
8.379021423,5.542201729,0
8.379021423,5.542201729,0
9.368030743,5.542201729,0
9.368030743,5.542201729,0
9.825273533,5.542201729,0
10.26216351,5.542201729,0
10.47377678,5.542201729,0
11.84972574,5.542201729,0
12.56853213,5.542201729,0
13.081743,5.542201729,0
15.10549569,5.542201729,0
2.962431434,5.924862868,0
2.962431434,5.924862868,0
2.962431434,5.924862868,0
2.962431434,5.924862868,0
2.962431434,5.924862868,0
3.628222705,5.924862868,0
3.628222705,5.924862868,0
3.628222705,5.924862868,0
3.628222705,5.924862868,0
3.628222705,5.924862868,0
3.628222705,5.924862868,0
3.628222705,5.924862868,0
3.628222705,5.924862868,0
3.628222705,5.924862868,0
3.628222705,5.924862868,0
4.189510711,5.924862868,0
4.189510711,5.924862868,0
4.189510711,5.924862868,0
4.189510711,5.924862868,0
4.189510711,5.924862868,0
4.189510711,5.924862868,0
4.189510711,5.924862868,0
4.189510711,5.924862868,0
4.189510711,5.924862868,0
4.189510711,5.924862868,0
4.189510711,5.924862868,0
4.189510711,5.924862868,0
4.189510711,5.924862868,0
4.684015371,5.924862868,0
4.684015371,5.924862868,0
4.684015371,5.924862868,0
4.684015371,5.924862868,0
4.684015371,5.924862868,0
5.131081757,5.924862868,0
5.131081757,5.924862868,0
5.131081757,5.924862868,0
5.131081757,5.924862868,0
5.131081757,5.924862868,0
5.131081757,5.924862868,0
5.131081757,5.924862868,0
5.131081757,5.924862868,0
5.131081757,5.924862868,0
5.131081757,5.924862868,0
5.131081757,5.924862868,0
5.131081757,5.924862868,0
5.131081757,5.924862868,0
5.131081757,5.924862868,0
5.131081757,5.924862868,0
5.131081757,5.924862868,0
5.131081757,5.924862868,0
5.131081757,5.924862868,0
5.542201729,5.924862868,0
5.542201729,5.924862868,0
5.542201729,5.924862868,0
5.542201729,5.924862868,0
5.542201729,5.924862868,0
5.542201729,5.924862868,0
5.924862868,5.924862868,0
5.924862868,5.924862868,0
5.924862868,5.924862868,0
5.924862868,5.924862868,0
5.924862868,5.924862868,0
5.924862868,5.924862868,0
5.924862868,5.924862868,0
5.924862868,5.924862868,0
5.924862868,5.924862868,0
5.924862868,5.924862868,0
5.924862868,5.924862868,0
5.924862868,5.924862868,0
5.924862868,5.924862868,0
5.924862868,5.924862868,0
5.924862868,5.924862868,0
5.924862868,5.924862868,0
6.284266067,5.924862868,0
6.284266067,5.924862868,0
6.284266067,5.924862868,0
6.284266067,5.924862868,0
6.624198065,5.924862868,0
6.624198065,5.924862868,0
6.624198065,5.924862868,0
6.624198065,5.924862868,0
6.624198065,5.924862868,0
6.624198065,5.924862868,0
6.624198065,5.924862868,0
6.947517542,5.924862868,0
7.256445411,5.924862868,0
7.256445411,5.924862868,0
7.256445411,5.924862868,0
7.256445411,5.924862868,0
7.256445411,5.924862868,0
7.256445411,5.924862868,0
7.256445411,5.924862868,0
7.256445411,5.924862868,0
7.256445411,5.924862868,0
7.256445411,5.924862868,0
7.83785685,5.924862868,0
7.83785685,5.924862868,0
7.83785685,5.924862868,0
7.83785685,5.924862868,0
7.83785685,5.924862868,0
7.83785685,5.924862868,0
7.83785685,5.924862868,0
7.83785685,5.924862868,0
7.83785685,5.924862868,0
7.83785685,5.924862868,0
8.112952607,5.924862868,0
8.379021423,5.924862868,0
8.379021423,5.924862868,0
9.368030743,5.924862868,0
9.59937498,5.924862868,0
10.26216351,5.924862868,0
10.68119843,5.924862868,0
11.08440346,5.924862868,0
11.84972574,5.924862868,0
12.56853213,5.924862868,0
13.081743,5.924862868,0
13.89503508,5.924862868,0
16.22590521,5.924862868,0
18.14111353,5.924862868,0
18.14111353,5.924862868,0
3.628222705,6.284266067,0
3.628222705,6.284266067,0
3.628222705,6.284266067,0
4.189510711,6.284266067,0
4.189510711,6.284266067,0
4.684015371,6.284266067,0
5.131081757,6.284266067,0
5.131081757,6.284266067,0
5.131081757,6.284266067,0
5.131081757,6.284266067,0
5.131081757,6.284266067,0
5.542201729,6.284266067,0
5.924862868,6.284266067,0
6.284266067,6.284266067,0
6.624198065,6.284266067,0
6.624198065,6.284266067,0
6.947517542,6.284266067,0
6.947517542,6.284266067,0
7.256445411,6.284266067,0
7.256445411,6.284266067,0
7.256445411,6.284266067,0
7.256445411,6.284266067,0
7.256445411,6.284266067,0
7.83785685,6.284266067,0
7.83785685,6.284266067,0
7.83785685,6.284266067,0
9.368030743,6.284266067,0
9.368030743,6.284266067,0
9.368030743,6.284266067,0
12.56853213,6.284266067,0
13.24839613,6.284266067,0
13.89503508,6.284266067,0
14.05204611,6.284266067,0
16.22590521,6.284266067,0
16.62660519,6.284266067,0
19.87259419,6.284266067,0
2.962431434,6.624198065,0
3.628222705,6.624198065,0
3.628222705,6.624198065,0
3.628222705,6.624198065,0
4.189510711,6.624198065,0
4.189510711,6.624198065,0
4.189510711,6.624198065,0
4.189510711,6.624198065,0
4.189510711,6.624198065,0
4.189510711,6.624198065,0
4.189510711,6.624198065,0
4.189510711,6.624198065,0
4.684015371,6.624198065,0
4.684015371,6.624198065,0
4.684015371,6.624198065,0
4.684015371,6.624198065,0
4.684015371,6.624198065,0
4.684015371,6.624198065,0
5.131081757,6.624198065,0
5.131081757,6.624198065,0
5.131081757,6.624198065,0
5.131081757,6.624198065,0
5.924862868,6.624198065,0
5.924862868,6.624198065,0
5.924862868,6.624198065,0
5.924862868,6.624198065,0
5.924862868,6.624198065,0
5.924862868,6.624198065,0
5.924862868,6.624198065,0
5.924862868,6.624198065,0
5.924862868,6.624198065,0
5.924862868,6.624198065,0
5.924862868,6.624198065,0
5.924862868,6.624198065,0
5.924862868,6.624198065,0
5.924862868,6.624198065,0
5.924862868,6.624198065,0
6.284266067,6.624198065,0
6.624198065,6.624198065,0
6.624198065,6.624198065,0
6.624198065,6.624198065,0
6.624198065,6.624198065,0
6.624198065,6.624198065,0
6.624198065,6.624198065,0
6.624198065,6.624198065,0
6.624198065,6.624198065,0
7.256445411,6.624198065,0
7.256445411,6.624198065,0
7.256445411,6.624198065,0
7.256445411,6.624198065,0
7.256445411,6.624198065,0
7.256445411,6.624198065,0
7.256445411,6.624198065,0
7.256445411,6.624198065,0
7.256445411,6.624198065,0
7.256445411,6.624198065,0
7.256445411,6.624198065,0
7.256445411,6.624198065,0
